,가렌,나르,다리우스,베인,세트,암베사,우르곳,이렐리아,일라오이,자르반,퀸,,그웬,말파이트,모데카이저,블라디미르,신지드,에코,오로라,케넨,티모,로크,세주아니,,,ad대,ap대,총대
가렌,0,2,3,3,3,1,1,0,0,0,,,0,0,2,,,0,1,2,2,,,,,13,7,20
갱플랭크,0,1,0,0,0,0,2,2,0,,2,,0,0,1,2,0,0,,0,0,,,,,7,3,10
그웬,2,2,3,0,1,0,2,1,0,0,,,0,0,0,,2,0,,2,1,,,,,11,5,16
그라가스,2,,0,0,0,2,,2,0,,0,,0,0,2,,,0,0,0,1,,,,,6,3,9
나르,0,0,0,0,0,2,1,2,0,,,,0,3,0,,0,2,0,2,0,,,,,5,7,12
나서스,2,0,2,0,1,1,3,0,3,0,,,0,0,0,,2,0,0,0,0,,,,,12,2,14
다리우스,0,,0,2,0,3,0,0,1,0,,,0,,1,,0,0,1,3,0,,,,,6,5,11
라이즈,0,,0,,0,3,,3,0,,,,0,0,0,,,0,,0,0,,,,,6,0,6
럼블,0,,1,0,0,2,,2,2,0,,,1,0,1,,,0,0,2,0,,,,,7,4,11
레넥톤,0,2,0,,0,0,1,0,3,0,2,,3,0,1,,,0,,3,2,,,,,8,9,17
렝가,2,,3,0,0,0,2,,0,0,,,0,3,0,,,0,0,0,0,,,,,7,3,10
리븐,2,,0,0,0,0,,,2,,,,0,3,0,,,0,,3,,,,,,4,6,10
마오카이,1,,0,,2,1,,,3,,,,2,0,3,,,0,,0,,,,,,7,5,12
말파이트,0,0,0,0,0,0,0,0,3,,0,,3,0,3,,3,0,,0,0,,,,,3,9,12
모데카이저,0,2,2,2,0,0,2,0,0,,,,0,0,0,,2,0,2,0,0,,,,,8,4,12
문도,2,,0,,2,3,,,3,0,,,3,0,3,,,0,,0,,,,,,10,6,16
바루스,0,,0,0,0,0,0,1,0,3,,,2,0,0,,0,1,,1,,,,,,4,4,8
베인,0,,0,0,0,0,0,,0,0,2,,0,3,0,,0,1,,2,3,,,,,2,9,11
볼리베어,0,2,0,0,0,0,,0,3,0,,,0,,0,,,0,,3,0,,,,,5,3,8
블라디미르,0,,0,,0,3,,,0, ,,,0,,2,,,0,,0,0,,,,,3,2,5
뽀삐,2,,1,,1,0,,0,0,0,,,0,,0,,,0,,3,,,,,,4,3,7
사이온,0,2,1,0,3,3,,,3,,,,3,0,2,,1,0,,1,0,,,,,12,7,19
사일러스,2,,1,,3,1,,,3,,,,1,0,1,,,0,,0,,,,,,10,2,12
세주아니,0,,0,,0,1,,,3,,,,2,0,3,,,0,,0,,,,,,4,5,9
세트,0,,1,2,0,0,,0,0,0,,,0,1,3,,2,0,,3,,,,,,3,9,12
쉔,0,2,1,2,1,0,,0,3,,,,3,,2,,0,0,,3,,,,,,9,8,17
스웨인,1,,0,,0,0,,2,0,,,,0,,0,,2,0,,0,,,,,,3,2,5
스카너,1,,1,,2,0,,,3,,,,2,,1,,,0,,2,,,,,,7,5,12
신지드,0,,1,1,0,0,,,2,,,,0,,0,,0,2,,3,3,,,,,4,8,12
신짜오,,,0,0,3,,,,1,0,,,0,3,2,,2,0,0,0,0,,,,,4,7,11
아칼리,0,,0,0,0,0,2,1,0,,,,0,0,0,,,0,,2,0,,,,,3,2,5
아트록스,0,,1,3,0,2,1,2,1,0,,,1,2,1,,3,1,0,2,0,,,,,10,10,20
애니비아,0,,0,,,,,2,0,,,,0,0,,,0,,,0,0,,,,,2,0,2
암베사,0,,0,0,0,0,1,2,2,0,,,0,0,3,,,0,0,0,1,,,,,5,4,9
야스오,1,,3,0,3,,,,0,0,,,0,2,1,,2,0,0,0,,,,,,7,5,12
오공,,,0,,0,0,,,3,,,,0,,1,,,0,,2,,,,,,3,3,6
